,Online boarding,Inflight entertainment,Type of Travel,Class
0,3,5,Personal Travel,Eco Plus
1,3,1,Business travel,Business
2,5,5,Business travel,Business
3,2,2,Business travel,Business
4,5,3,Business travel,Business
5,2,1,Personal Travel,Eco
6,2,2,Personal Travel,Eco
7,5,5,Business travel,Business
8,3,1,Business travel,Business
9,3,2,Business travel,Eco
10,5,2,Business travel,Eco
11,2,1,Personal Travel,Eco Plus
12,1,1,Business travel,Eco
13,4,4,Personal Travel,Eco
14,3,2,Personal Travel,Eco
15,2,4,Business travel,Eco
16,4,4,Business travel,Business
17,4,5,Business travel,Business
18,4,5,Business travel,Business
19,3,5,Personal Travel,Eco
20,2,2,Business travel,Eco
21,3,5,Personal Travel,Eco
22,4,3,Personal Travel,Eco
23,3,4,Personal Travel,Eco
24,4,5,Personal Travel,Eco
25,5,4,Business travel,Business
26,2,4,Business travel,Eco Plus
27,2,3,Business travel,Business
28,3,3,Personal Travel,Eco
29,5,5,Business travel,Business
30,2,5,Business travel,Eco
31,4,3,Business travel,Business
32,4,5,Personal Travel,Eco
33,3,1,Business travel,Business
34,1,1,Business travel,Eco
35,4,5,Business travel,Business
36,4,2,Personal Travel,Eco Plus
37,4,4,Personal Travel,Eco
38,1,1,Business travel,Business
39,5,4,Business travel,Business
40,3,3,Business travel,Business
41,1,5,Business travel,Business
42,5,3,Business travel,Business
43,5,5,Business travel,Business
44,2,4,Personal Travel,Business
45,1,1,Business travel,Business
46,2,5,Business travel,Business
47,2,5,Personal Travel,Eco
48,2,2,Business travel,Eco
49,4,4,Business travel,Business
50,2,5,Business travel,Eco
51,2,4,Personal Travel,Eco
52,3,4,Personal Travel,Eco
53,5,4,Business travel,Business
54,5,5,Business travel,Business
55,3,4,Business travel,Business
56,2,4,Business travel,Eco
57,2,3,Business travel,Business
58,4,4,Business travel,Business
59,2,4,Business travel,Eco
60,4,5,Business travel,Business
61,4,4,Business travel,Business
62,5,4,Business travel,Business
63,2,4,Personal Travel,Eco
64,4,5,Business travel,Business
65,2,2,Business travel,Eco
66,4,4,Business travel,Eco Plus
67,4,5,Business travel,Business
68,3,3,Business travel,Eco Plus
69,2,5,Business travel,Business
70,1,2,Personal Travel,Eco Plus
71,3,1,Personal Travel,Eco
72,5,1,Business travel,Business
73,4,2,Business travel,Business
74,4,2,Personal Travel,Eco
75,2,3,Business travel,Business
76,4,4,Business travel,Business
77,4,3,Business travel,Eco
78,3,5,Business travel,Business
79,5,4,Business travel,Business
80,4,4,Business travel,Eco Plus
81,4,5,Personal Travel,Eco Plus
82,3,5,Personal Travel,Eco
83,1,4,Business travel,Business
84,2,3,Business travel,Eco
85,5,2,Business travel,Business
86,4,4,Business travel,Business
87,3,5,Business travel,Eco Plus
88,2,3,Business travel,Eco
89,4,4,Business travel,Eco
90,4,5,Personal Travel,Eco
91,3,3,Personal Travel,Business
92,1,5,Personal Travel,Eco Plus
93,3,3,Business travel,Business
94,2,3,Personal Travel,Eco
95,5,4,Business travel,Business
96,2,5,Personal Travel,Eco
97,3,3,Business travel,Eco Plus
98,3,4,Personal Travel,Eco
99,1,1,Business travel,Eco
100,4,5,Personal Travel,Eco
101,2,4,Personal Travel,Eco
102,5,4,Business travel,Business
103,3,4,Business travel,Business
104,1,1,Business travel,Business
105,2,5,Personal Travel,Eco
106,5,4,Business travel,Business
107,2,1,Personal Travel,Eco
108,2,3,Personal Travel,Eco
109,5,2,Business travel,Business
110,4,3,Business travel,Eco
111,3,4,Business travel,Business
112,4,4,Business travel,Eco
113,1,3,Personal Travel,Eco
114,5,4,Business travel,Business
115,1,5,Personal Travel,Eco
116,4,4,Business travel,Business
117,5,4,Business travel,Business
118,3,2,Business travel,Eco Plus
119,3,3,Personal Travel,Eco
120,4,4,Business travel,Eco
121,4,2,Business travel,Business
122,2,3,Business travel,Business
123,3,3,Business travel,Business
124,5,5,Business travel,Business
125,4,5,Business travel,Business
126,3,3,Business travel,Business
127,3,1,Business travel,Business
128,4,4,Business travel,Business
129,1,3,Personal Travel,Eco
130,4,1,Personal Travel,Eco
131,3,3,Business travel,Business
132,3,1,Personal Travel,Business
133,3,5,Business travel,Eco
134,3,5,Personal Travel,Eco
135,5,5,Business travel,Business
136,4,3,Business travel,Business
137,4,3,Personal Travel,Business
138,4,2,Business travel,Business
139,3,1,Business travel,Business
140,1,5,Business travel,Business
141,2,2,Business travel,Eco
142,4,5,Business travel,Business
143,4,1,Personal Travel,Eco
144,1,4,Personal Travel,Eco
145,4,5,Business travel,Eco
146,5,3,Business travel,Business
147,3,3,Personal Travel,Eco
148,4,4,Business travel,Business
149,5,3,Business travel,Business
150,5,4,Personal Travel,Eco
151,4,5,Business travel,Business
152,5,5,Business travel,Eco Plus
153,2,5,Business travel,Eco
154,2,3,Personal Travel,Eco
155,5,1,Business travel,Eco
156,5,5,Business travel,Eco
157,4,4,Business travel,Business
158,4,4,Personal Travel,Eco
