,Image_name,Card-set,Card_number,Rarity,Card_name,Card type,Attribute,Types,Level,Attack,Defense
0,MRD-116 R.png,Metal Raiders,MRD-116,Rare,Witch of the Black Forest,Monster,DARK,Spellcaster / Effect,4,1100,1200
1,PHSW-EN014 C.png,Photon Shockwave,PHSW-EN014,Common,Plasma Ball,Monster,LIGHT,Thunder / Effect,3,900,900
2,ROTD-EN030 UR.png,Rise of the Duelist,ROTD-EN030,Ultra Rare,Koa'ki Meiru Supplier,Monster,EARTH,Rock / Effect,4,1400,1600
3,DUEA-EN098 C.png,Duelist Alliance,DUEA-EN098,Common,Cloudcastle,Monster,WIND,Machine / Synchro / Effect,9,0,3000
4,CRV-EN006 C.png,Cybernetic Revolution,CRV-EN006,Common,Patroid,Monster,EARTH,Machine / Effect,4,1200,1200
5,SOVR-EN022 C.png,Stardust Overdrive,SOVR-EN022,Common,Reptilianne Scylla,Monster,DARK,Reptile / Effect,4,1800,1200
6,LIOV-EN031 C.png,Lightning Overdrive,LIOV-EN031,Common,Otoshidamashi,Monster,EARTH,Beast / Tuner / Effect,1,1000,1000
7,STOR-EN004 SR.png,Storm of Ragnarok,STOR-EN004,Super Rare,D.D. Sprite,Monster,LIGHT,Fairy / Tuner / Effect,1,0,100
8,FET-EN004 C.png,Flaming Eternity,FET-EN004,Common,Insect Knight,Monster,EARTH,Insect,4,1900,1500
9,BODE-EN088 UR.png,Burst of Destiny,BODE-EN088,Ultra Rare,Ultra Beetrooper Absolute Hercules,Monster,EARTH,Insect / Fusion / Effect,11,4000,4000
10,INOV-EN031 C.png,Invasion: Vengeance,INOV-EN031,Common,Aromaseraphy Angelica,Monster,LIGHT,Plant / Tuner / Effect,1,0,0
11,TDGS-EN081 SR.png,The Duelist Genesis,TDGS-EN081,Super Rare,Counselor Lily,Monster,EARTH,Fairy / Tuner,3,400,1500
12,ANPR-EN013 R.png,Ancient Prophecy,ANPR-EN013,Rare,Darksea Rescue,Monster,DARK,Machine / Effect,1,0,0
13,IGAS-EN027 R.png,Ignition Assault,IGAS-EN027,Rare,Ibicella Lutea,Monster,EARTH,Plant / Effect,4,1800,100
14,STOR-EN005 C.png,Storm of Ragnarok,STOR-EN005,Common,Top Runner,Monster,WIND,Machine / Tuner,4,1100,800
15,PTDN-EN033 C.png,Phantom Darkness,PTDN-EN033,Common,Black Veloci,Monster,EARTH,Dinosaur / Effect,4,1800,300
16,PGD-022 C.png,Pharaonic Guardian,PGD-022,Common,Swarm of Locusts,Monster,DARK,Insect / Effect,3,1000,500
17,RGBT-EN011 C.png,Raging Battle,RGBT-EN011,Common,Blackwing - Shura the Blue Flame,Monster,DARK,Winged Beast / Effect,4,1800,1200
